AAPL,AMZN,BA,BAC,BLK,CAT,CL,COP,D,DIS,GE,JNJ,JPM,KO,MCD,MMM,MSFT,NKE,NOC,NVDA,OXY,PFE,PG,SO,SPG,T,TSM,UNH,UPS,VMC,XOM
0.007215449078409887,0.003703872337499999,0.0020183274394932203,0.00234735014009887,0.002342468538528813,0.0009930556925361578,0.001187582026058475,0.0017354290106610171,0.0009826655014409606,0.0021848180194322035,0.0018889636327658194,0.0018619774719175145,0.0015804775536039548,0.000978597748179661,0.0011987083264440677,0.0018980989487121461,0.0027009082800502817,0.0021111204502172313,0.0015942775062906785,0.006050586707542937,0.002883260991168927,0.0016021879776567797,0.0014003059469485876,0.0006719219699709039,0.002369206423178814,0.0011282872079858754,0.0032231583923827685,0.0015233420208612992,0.0024467712778084745,0.0009158835406313559,0.0017104454892556498
0.0,0.006444959502491526,0.0013915578893728805,0.002380628280711865,0.0027135319416271182,0.0014909702646610172,0.0012963476939745766,0.0020037682069830513,0.00036279515158474564,0.00161555005179661,-0.00024887799146610187,0.001385418185627119,0.0013347385475084743,0.0006046661718135592,0.0010489166052711865,0.0018911186719067798,0.002921687286338983,0.0017527824034322035,0.001954270802788135,0.005194590887711865,0.004062438927694915,0.0014544014544661016,0.00033883825557627097,0.0002522746230084745,0.0012146691993644067,0.0005687370197288133,0.002961032005601694,0.002062406066483051,0.002489885213254237,0.0009393988980423737,0.0018813080785169492
0.0,0.0,0.01547380882817966,0.00572717011477966,0.0032716564483593223,0.0038630646970983055,0.0017073465940457629,0.007973560877762713,0.0006967406949508474,0.004460693910711865,0.006909304909103389,0.0012989268509118644,0.004816026895877967,0.0023912464187559315,0.0019235679031728817,0.0031351940261203385,0.0018348812243864402,0.003042396869642372,0.0032302761521000004,0.00200228260439322,0.013898685752861017,0.00039185091199152517,0.0007302567439966103,0.0009857897904864406,0.008042847796818645,0.003043174313728814,0.0016399106712627117,0.0012579457900491523,0.002201996136172881,0.0014341877895338983,0.005417124319228814
0.0,0.0,0.0,0.006628084206276834,0.003916940776559321,0.00378290129339548,0.0014713010492457626,0.006483607992694915,0.0008460124785282486,0.004088175878762713,0.004932638545709041,0.001996179360463277,0.005246585633920906,0.0019211391947288132,0.001293396518288136,0.0029982307682231654,0.002020480657587571,0.0025330681256468925,0.002371301393042373,0.002507606575022599,0.009066932948197739,0.0015030187344830506,0.0009433922110960453,0.0014246562289124294,0.0058085375500254235,0.002131479553621469,0.0029294607047937854,0.002624318042257061,0.0032039144186440686,0.0016550280297542377,0.0050424284174887
0.0,0.0,0.0,0.0,0.004511388165125423,0.0031238128936711866,0.0018337879348542376,0.003067330309661016,0.0010968006448508478,0.002722144806745762,0.0031555633669186445,0.0016719619130949152,0.0030155109030101696,0.0013960750064949152,0.0009170586373288135,0.0025991063274271183,0.0022497871568237285,0.00224019419801356,0.0022512369372000005,0.0035858344660745765,0.004883640652230507,0.0015414920132881356,0.0007912469160610171,0.0012521729819898303,0.0023843221788915256,0.0014318412356271184,0.00228937389561017,0.0018155406230135592,0.0029608017353118647,0.0018775405998135595,0.0028908854609322036
0.0,0.0,0.0,0.0,0.0,0.0053835551322836146,0.0011415913347474574,0.0029687213411864403,0.0005695114285079098,0.002470543078237288,0.0028064785576378533,0.001284177251537853,0.0029660056761988685,0.0011642926189966104,0.0005199485995864407,0.0028172748131011296,0.001406527423340113,0.0017280199981418074,0.0014725490204525425,0.0025657841075751417,0.004580911952102825,0.0008096086193983051,0.0004643495595265537,0.0005889172133463278,0.002590536837828814,0.001408764078858757,0.0026994260024887015,0.0018055620153621468,0.0029804893620440677,0.002163684535144068,0.0028702880803870056
0.0,0.0,0.0,0.0,0.0,0.0,0.00252112307155339,0.0011052000366271186,0.0009963499948974577,0.0014353473671271184,0.0012334709791093222,0.001316877796077966,0.0010709702189677965,0.001485069256240678,0.0011742444209220338,0.0013850742386432207,0.000733735352001695,0.0009079581126872877,0.001927158173805932,0.00044112374628644093,0.0016456944984423723,0.0010402527139957624,0.0014045478785101695,0.0014442626978838987,0.0009377959068872881,0.0012654824153474574,0.0010048529843432205,0.0007435131597720339,0.0017645304080661022,0.0008880471111228814,0.001058647095809322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013748325968813554,7.221383757627085e-5,0.0046752854914745776,0.00604406175137288,0.0018804662973559319,0.005197293204881355,0.0019487193485932207,0.001626222439220339,0.002613067752372882,0.0018988856575762713,0.002641145996220339,0.0021583192150677966,0.0023368983953389825,0.017956266137610172,0.0017684662951525417,0.0003722707499661018,0.0007381550303050848,0.009221927390983051,0.002589840087135593,0.0020624206222542366,0.002536016525728814,0.001841615462135593,0.001396046342915254,0.008854752249186441
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022049952065793786,0.0008283889183813559,-4.830781577937856e-5,0.0011146767942960456,0.000503703746796045,0.001216300521705085,0.0012066417474440678,0.0011869744864098871,0.0007298639467056497,0.0004302356928980226,0.0008240087608754237,0.00013645013131129944,-0.00017162187954858745,0.0009289218879025425,0.0010585598597056497,0.001681928870290113,0.00037678945822118646,0.0010511770566920906,-2.7480989789548053e-5,0.0010200426819827683,0.0007761198034186441,0.0007731015800127117,0.0005925812234223164
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00655964082181356,0.0036067268721949155,0.001907184403169492,0.0038266122937966095,0.002320052459881356,0.0013478872755932206,0.0016589381433305091,0.0017400683349999997,0.002311523370991526,0.0017462905772966102,0.00018840836479661033,0.005835708166288135,0.000818422704093221,0.001093655890864407,0.001242912083466102,0.003980019135161018,0.0018547867143898303,0.002004408398211864,0.0018436075135677965,0.001981516291186441,0.0013382591120084742,0.0036269842340084743
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01281555718888446,0.0004581025540531072,0.004189560163739548,0.0011883357265355934,1.922955732203668e-6,0.0013721591206612995,0.0005880741950163842,0.002028748884878248,0.001188124435833051,0.0015992155012378535,0.009543096471796048,-0.00030730911424152544,0.00023528681127062137,0.0016195894569709039,0.005917231217483898,0.0018742798229858752,0.0013682432795522595,0.0009561595883189268,0.001553611023537288,0.0016408943003601696,0.0041207042702387005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002477355651487006,0.001675013155029378,0.00138846752440339,0.001367376749027119,0.0018880682902112996,0.0012540093766960447,0.0010643942327096046,0.0011415398965288137,0.0009609762666937855,0.0020916142475774016,0.0017210820591694914,0.0010631412920689264,0.001277517779812429,0.0014732505441254237,0.0009668949234519775,0.0013244505845141246,0.0016546640377943502,0.0013583161628745763,0.0005514386981016951,0.0018585898923276834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00480119350238531,0.0016512832190983047,0.0010010277380610169,0.0021679146091519766,0.001408775058289266,0.001954497192972316,0.0017107584925711856,0.0012526541685412428,0.007216547216441807,0.0011748975513135589,0.0005735875453740112,0.001167689847058192,0.004719843048693223,0.001709168863451977,0.0025240578060819205,0.0017775802669214688,0.0021174821354847458,0.0012251177431101695,0.004005672778098869
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026147485252135585,0.001706868518766101,0.001218213407162712,0.0009211365443355931,0.0010207777867864412,0.0014474311804305085,0.0003126955259694913,0.0025521964913864407,0.0009179875492542374,0.0014456560930474571,0.0017764083611389832,0.002095153119640678,0.0012801678092033899,0.0009077463649491522,0.0016211084406169494,0.0017474691590033896,0.0011886890837966098,0.0015895599159322033
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002448974752176271,0.0010357741201389833,0.000911764787959322,0.0006125379190983051,0.0014148127176406779,0.00010560931373559336,0.002267135830467798,0.0010642638657288135,0.0011456093777389828,0.0014423383317355928,0.0019874019861457633,0.0009116485797118643,0.00020739297837288142,0.0011288551075389831,0.0013540284272610169,0.001026651664745763,0.0014849687042033897
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035871422476302255,0.0015103574420785313,0.001982891113965819,0.001503980920451695,0.0028292481269214693,0.0037686712197564976,0.0013983029190042376,0.0009331634382819208,0.0008326313213918078,0.0025695123525601694,0.0013294369349293785,0.0018702465368206215,0.0020226678171522596,0.0024869865502830505,0.0012181397114364408,0.0026129601282528247
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027415909245887002,0.001536069863373446,0.001201906542977966,0.0036314390414451973,0.0035715590011988706,0.0005690441684322035,0.00043841250048700563,0.00038905688972485866,0.0018544954363033902,0.0006164079312090397,0.0015774603343926548,0.0013837966281700566,0.0018788434863491524,0.0012693205597711862,0.0019993254506129945
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004766559482986159,0.0010833397384211862,0.0032821303628129943,0.0031924541565768356,0.0007420643548008475,0.0006193674561192089,0.0002485364806562146,0.002362215167821186,0.0009524178930649722,0.0011721305699392652,0.0013352362298166664,0.0018600819806322037,0.0018019332255381358,0.00210756297133757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038519481967262707,0.0016132660843271188,0.0019546612647576276,0.0012690711739194917,0.0008076561453338983,0.0014019630180855936,0.0010685905487364407,0.001710159674754237,0.000901955479622881,0.001006069048234746,0.001811823910038983,0.0011526741811483051,0.0018595299740042372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015961800284453112,0.0022799415697502827,0.0010592880918559324,-0.00037638967104632786,-0.0009819693222502827,0.0012845500114593217,8.094034902824849e-5,0.004215230195539546,0.0013460216633892656,0.003734086351667798,0.001615766930720339,0.002530847726641243
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033239989928588703,0.0013600499812288136,0.0004996440769954797,0.0008248830920977406,0.01608426904074407,0.0038602453746836153,0.004815599303257063,0.0031843675817124282,0.0029127108085864393,0.0028176528240423724,0.012710982267562147
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004795613078055086,0.001048844590059322,0.0013256875300042372,0.0014450585330381357,0.0008226570310932205,0.001328382351826271,0.001999079528919492,0.0015300844181610172,5.151753952118635e-5,0.0012323644735635594
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021331468871988693,0.0012511304399113,0.0011636891070661015,0.0012177535204971751,0.0008378210944435025,0.0008541893124412429,0.0016376820035864412,0.0008929360153983049,0.0005304231414604519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002792495486118363,0.0010720049369974578,0.0011331250260536725,0.00031420304244209036,0.001061604431232486,0.0009706930874050848,0.0010207861432330512,0.0008937458598742937
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011728814488536443,0.002557966250330509,0.002521309983572035,0.002140264485634746,0.0020577313785440678,0.002441211549809322,0.00663375608056356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027995652592598874,0.0008563645097316381,0.0008174472250988701,0.0012944156446440679,0.0009462596061779663,0.00219903893590113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006732575496179378,0.0006420849712274008,0.002909762197720339,0.0011978946288855935,0.00201270104025565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042651199029861584,0.002604471862428814,0.0007941927008262714,0.0020115516785070625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00752175397582034,0.0019655523581101697,0.002277475122059323
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004001183562868644,0.0022363528583855936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00731680744658616
