Year,Rf,Expected_excess_return,Actual_excess_return,Equal_weight_excess_return,SP500_excess_return,AAPL,AMZN,BA,BAC,BLK,CAT,CL,COP,D,DIS,GE,JNJ,JPM,KO,MCD,MMM,MSFT,NKE,NOC,NVDA,OXY,PFE,PG,SO,SPG,T,TSM,UNH,UPS,VMC,XOM
2007,0.0463,0.2021908960585181,0.2446379784885755,0.08908545819089866,-0.011000000000000003,0.1311,0.1459,-0.0,-0.0,0.0,0.0133,0.0,0.0,-0.0,-0.0082,0.0,-0.0,-0.0143,0.0,0.0328,0.0,0.0,-0.0,0.0,0.011,0.0,-0.0,0.0,0.0,-0.0,0.0104,-0.0087,0.0,-0.0,-0.0223,0.0
2008,0.0366,0.014332682592071315,-0.32954837664016706,-0.31310723292551523,-0.42150000000000004,-0.0369,-0.034,-0.0487,-0.0,-0.0,-0.0371,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0335,-0.0,0.0161,-0.0,-0.0,-0.0,-0.0,-0.0672,-0.0,-0.0,-0.0,0.0,-0.0,-0.026,-0.0146,-0.0,-0.0,-0.0111,-0.0
2009,0.0326,-0.2060180719472794,0.16290321901869978,0.43895072569499305,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,0.0,0.0106,0.0,0.0,0.0116,0.0,0.0334,0.0,0.0537,0.0,0.0,0.0,0.0,0.0,0.0248,0.0112,-0.0004,0.0,0.0,0.0,0.0,0.035,0.0,-0.0108
2010,0.0322,0.315299039865744,0.20586047052122403,0.1446414955301063,0.09559999999999999,0.0414,0.0161,0.0058,-0.0057,-0.0071,0.0669,0.0,0.0258,0.0,0.0197,0.0102,-0.0,0.0018,0.0,0.0017,0.0,-0.0004,0.0,0.0064,0.0,0.0153,-0.0005,0.0,0.0,0.0286,0.0042,0.0047,0.0028,0.0002,0.0002,0.0
2011,0.0278,0.14711682527664055,-0.06326876325160077,-0.008182247889947949,-0.0278,0.0106,0.0006,0.0038,-0.0196,-0.0055,-0.0047,0.0,0.0015,0.0011,-0.0027,-0.0074,0.0018,-0.008,0.002,0.0,-0.001,-0.0037,0.0005,-0.0089,-0.0142,-0.0014,0.0013,0.0,0.0,0.0133,0.0023,-0.0005,0.0058,0.0001,-0.0028,0.0
2012,0.018,-0.0034256451984807125,-0.013329071796600693,0.02585007409106806,0.1161,0.0,0.0,0.0,0.0,0.0,-0.0,0.0152,-0.0,0.0035,0.0,0.0,0.0064,0.0,-0.0463,-0.0109,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0172,0.0077,-0.006,0.0,0.0146,0.0,0.0,-0.0,0.0,0.0034
2013,0.0235,0.16961858611387567,0.26688383495708623,0.19676401771586646,0.27249999999999996,0.0123,0.0161,0.051,0.009,0.0188,-0.0045,-0.0,0.0158,0.0016,0.0284,0.0129,0.0027,0.0079,0.0002,0.0,0.014,0.0206,0.0061,0.0441,0.0069,0.0053,0.002,0.0,-0.0,-0.0019,0.0002,-0.0008,0.0085,0.0089,0.0013,0.0028
2014,0.0254,0.4208526703841953,0.10058830211491701,0.07962810316733057,0.0885,-0.0049,-0.0013,0.002,0.0029,0.0164,-0.002,0.0,0.0041,0.0,0.0283,0.0005,0.0,0.0105,0.0,-0.0,0.0196,0.0075,0.0076,0.0155,0.0066,-0.0057,0.0003,0.0,0.0,0.0058,0.0,0.0074,0.0,0.0025,0.0022,0.0
2015,0.0214,0.15765106679742816,0.10696905081377778,0.05519923666110706,-0.0287,-0.0,0.0,-0.0,0.0111,0.0,-0.015,-0.0,-0.0259,-0.0,0.0155,0.0304,0.0,0.0214,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0716,-0.0155,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0347,-0.0
2016,0.0184,-0.003381684075809542,0.03223816905253242,0.23323182598899297,0.077,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0,0.0061,0.0,0.0,0.0103,0.0,-0.0034,-0.0017,0.0,0.0,-0.018,0.0,0.0,0.0,0.0,0.0029,0.0006,-0.0,0.0179,0.0,0.039,0.0,0.0,0.0
2017,0.0233,0.13739752860315832,0.2627328994145467,0.19179941717523535,0.1709,0.0395,0.042,0.0,0.0304,0.0374,0.0647,0.0,0.0126,0.0,-0.0028,-0.0412,0.0,0.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0772,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
2018,0.0291,0.25440528677693386,-0.1697473040272598,-0.1462094225737473,-0.0915,-0.0058,0.0035,-0.009,-0.023,-0.0301,-0.0219,-0.0,0.006,-0.0,0.0009,-0.0,-0.0,-0.0156,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0457,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
2019,0.0214,-0.03516607640433537,0.13756583261659155,0.15368916405445177,0.2674,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0179,0.0,0.0098,0.0096,0.0,0.015,0.0105,-0.0,0.0,0.0237,0.0,0.0,-0.0,-0.0,0.0295,0.0311,-0.0182,0.03,0.0,0.0,0.0,0.0,-0.0
2020,0.0089,0.4115460517124414,0.24129655420496662,0.07526816937800743,0.1537,-0.0571,0.0621,-0.0327,-0.0077,0.0368,0.0386,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.004,-0.0,0.0,0.0,0.0307,0.0,-0.0,0.1209,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0627,0.0,-0.0
2021,0.0145,0.23510821621947592,0.2665446058794149,0.478010543223517,0.25439999999999996,0.0346,0.0039,0.0018,0.0501,0.0279,0.0,0.0,0.0639,0.0,-0.006,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,-0.0281,0.0227,0.0,0.0,0.0,0.0452,-0.0,-0.0003,0.0,0.0181,0.0,0.0346
2022,0.0295,0.35898932452340837,-0.18889863563680695,-0.11105019033693135,-0.2239,-0.0257,-0.0864,-0.0026,-0.0282,-0.0139,0.0,-0.0,0.0194,-0.0,-0.0371,-0.0,0.0,-0.0036,0.0,0.0,-0.0034,-0.0,-0.0,0.0,-0.0271,0.0431,-0.0,-0.0,0.0,-0.0138,-0.0,-0.0,0.0,-0.012,-0.0,0.0318
